val_RMSE,val_Total_Loss,step,epoch,val_MAE,train_MAE,train_RMSE,train_Total_Loss,test_Total_Loss,test_MAE,test_RMSE
,,15587,35,,0.07347158342599869,0.1079539954662323,0.012243459932506084,,,
0.12464012205600739,0.016981525346636772,16020,36,0.07712457329034805,,,,,,
,,16020,36,,0.07123855501413345,0.10448887944221497,0.011407793499529362,,,
0.12659309804439545,0.017162414267659187,16453,37,0.07836755365133286,,,,,,
,,16453,37,,0.07303447276353836,0.10701153427362442,0.011975075118243694,,,
0.12713509798049927,0.0203858632594347,16886,38,0.07449781894683838,,,,,,
,,16886,38,,0.07008937001228333,0.1037009209394455,0.011155698448419571,,,
0.12412809580564499,0.016663243994116783,17319,39,0.07439744472503662,,,,,,
,,17319,39,,0.06996146589517593,0.10204685479402542,0.010937951505184174,,,
0.11953691393136978,0.015562934800982475,17752,40,0.07366806268692017,,,,,,
,,17752,40,,0.0681421309709549,0.10109870135784149,0.01061263494193554,,,
