val_MAE,step,val_Total_Loss,epoch,val_RMSE,train_Total_Loss,train_MAE,train_RMSE,test_Total_Loss,test_MAE,test_RMSE
0.14944370090961456,43732,0.060242678970098495,100,0.23847727477550507,,,,,,
,43732,,100,,0.03307407721877098,0.11749577522277832,0.17774967849254608,,,
0.12264146655797958,44165,0.04670353978872299,101,0.20902426540851593,,,,,,
,44165,,101,,0.03917714208364487,0.12959817051887512,0.19251909852027893,,,
0.13337072730064392,44598,0.045516930520534515,102,0.20797768235206604,,,,,,
,44598,,102,,0.030726155266165733,0.1160220131278038,0.17149998247623444,,,
0.14029265940189362,45031,0.054112594574689865,103,0.2267051339149475,,,,,,
,45031,,103,,0.029779573902487755,0.11381334811449051,0.16938504576683044,,,
0.11992862820625305,45464,0.04464935138821602,104,0.20339807868003845,,,,,,
,45464,,104,,0.035359937697649,0.12298651039600372,0.18270620703697205,,,
0.18952979147434235,45897,0.07456391304731369,105,0.2689400613307953,,,,,,
,45897,,105,,0.033610522747039795,0.11778614670038223,0.17493349313735962,,,
0.11699466407299042,46330,0.039338745176792145,106,0.19392894208431244,,,,,,
,46330,,106,,0.03148079290986061,0.11691007763147354,0.17367015779018402,,,
0.16388916969299316,46763,0.07035990804433823,107,0.25909125804901123,,,,,,
,46763,,107,,0.03219997510313988,0.11530384421348572,0.1731584072113037,,,
0.11480323225259781,47196,0.03793974593281746,108,0.18957911431789398,,,,,,
,47196,,108,,0.03267628327012062,0.11958568543195724,0.17634648084640503,,,
0.13626234233379364,47629,0.047903407365083694,109,0.21478168666362762,,,,,,
,47629,,109,,0.02760312147438526,0.11095868051052094,0.16317202150821686,,,
0.11750154197216034,48062,0.04106270894408226,110,0.19669297337532043,,,,,,
,48062,,110,,0.029552431777119637,0.11326643079519272,0.1682479977607727,,,
0.1227056235074997,48495,0.04093122482299805,111,0.19672970473766327,,,,,,
,48495,,111,,0.033174481242895126,0.12026729434728622,0.17660193145275116,,,
0.1630404144525528,48928,0.07620764523744583,112,0.267839640378952,,,,,,
,48928,,112,,0.031110191717743874,0.11539655923843384,0.17117375135421753,,,
0.1493377536535263,49361,0.055636998265981674,113,0.23210006952285767,,,,,,
,49361,,113,,0.05365448445081711,0.1504899263381958,0.22361575067043304,,,
0.13289842009544373,49794,0.05362679436802864,114,0.22107578814029694,,,,,,
,49794,,114,,0.040813423693180084,0.13368603587150574,0.19882695376873016,,,
0.1807851940393448,50227,0.08670656383037567,115,0.28861191868782043,,,,,,
,50227,,115,,0.03786143660545349,0.1273767054080963,0.18945078551769257,,,
0.1349221020936966,50660,0.052970778197050095,116,0.22362898290157318,,,,,,
,50660,,116,,0.03400091826915741,0.1211124137043953,0.18018582463264465,,,
0.1146179810166359,51093,0.039233386516571045,117,0.19254881143569946,,,,,,
,51093,,117,,0.026835406199097633,0.10885678231716156,0.16120962798595428,,,
0.12325567752122879,51526,0.043367668986320496,118,0.20258165895938873,,,,,,
,51526,,118,,0.027382053434848785,0.10880420356988907,0.16202399134635925,,,
0.11405408382415771,51959,0.036176472902297974,119,0.18444639444351196,,,,,,
,51959,,119,,0.027617337182164192,0.11021185666322708,0.1617761254310608,,,
0.126107856631279,52392,0.045014455914497375,120,0.2074301540851593,,,,,,
,52392,,120,,0.025638965889811516,0.10480742156505585,0.15520110726356506,,,
0.11987423151731491,52825,0.04857894033193588,121,0.20712865889072418,,,,,,
,52825,,121,,0.03756764158606529,0.12586496770381927,0.18586568534374237,,,
0.11260055005550385,53258,0.04433390870690346,122,0.19938218593597412,,,,,,
,53258,,122,,0.022719290107488632,0.09998536854982376,0.147691011428833,,,
0.11235244572162628,53691,0.037286609411239624,123,0.1877848207950592,,,,,,
,53691,,123,,0.023895498365163803,0.10362271219491959,0.1515796035528183,,,
0.1495182365179062,54124,0.06105225160717964,124,0.2416706681251526,,,,,,
,54124,,124,,0.04059497267007828,0.12858258187770844,0.1938735842704773,,,
0.14044661819934845,54557,0.06653358042240143,125,0.24893571436405182,,,,,,
,54557,,125,,0.03283147141337395,0.11734593659639359,0.17537672817707062,,,
0.1361790895462036,54990,0.04825838282704353,126,0.21448706090450287,,,,,,
,54990,,126,,0.03383192792534828,0.11879023164510727,0.17848147451877594,,,
0.12328088283538818,55423,0.03789544478058815,127,0.19067423045635223,,,,,,
,55423,,127,,0.025967245921492577,0.10734453052282333,0.15765780210494995,,,
0.11861544847488403,55856,0.04245610535144806,128,0.19715772569179535,,,,,,
,55856,,128,,0.023718327283859253,0.10153961926698685,0.1500762403011322,,,
0.1250552535057068,56289,0.04285091161727905,129,0.20202821493148804,,,,,,
,56289,,129,,0.022943859919905663,0.10109895467758179,0.14905203878879547,,,
0.12146821618080139,56722,0.03848906606435776,130,0.1917676329612732,,,,,,
,56722,,130,,0.026724349707365036,0.10906301438808441,0.15942281484603882,,,
0.14653313159942627,57155,0.050814613699913025,131,0.22118420898914337,,,,,,
,57155,,131,,0.039326779544353485,0.12591658532619476,0.19118563830852509,,,
0.12971845269203186,57588,0.05008573830127716,132,0.21601860225200653,,,,,,
,57588,,132,,0.03388476371765137,0.12010660767555237,0.18016205728054047,,,
0.10705695301294327,58021,0.03630855679512024,133,0.18501248955726624,,,,,,
,58021,,133,,0.022643154487013817,0.10007546097040176,0.14802159368991852,,,
0.14940764009952545,58454,0.0636458694934845,134,0.24384698271751404,,,,,,
,58454,,134,,0.045076556503772736,0.13226176798343658,0.1968662440776825,,,
0.11415576934814453,58887,0.03892902657389641,135,0.19102954864501953,,,,,,
,58887,,135,,0.028816141188144684,0.11251723766326904,0.16657423973083496,,,
0.12574662268161774,59320,0.04650275036692619,136,0.20927420258522034,,,,,,
,59320,,136,,0.02224057726562023,0.09994156658649445,0.14682380855083466,,,
0.10730168223381042,59753,0.03518268093466759,137,0.18166393041610718,,,,,,
,59753,,137,,0.020423540845513344,0.09687017649412155,0.1410682499408722,,,
0.13645333051681519,60186,0.04248320683836937,138,0.20221759378910065,,,,,,
,60186,,138,,0.024514013901352882,0.10415314137935638,0.15310224890708923,,,
0.12631753087043762,60619,0.04140015318989754,139,0.1988435834646225,,,,,,
,60619,,139,,0.019724983721971512,0.09482711553573608,0.13866323232650757,,,
0.11092578619718552,61052,0.035871148109436035,140,0.18541191518306732,,,,,,
,61052,,140,,0.01818949542939663,0.09152907133102417,0.1334001123905182,,,
0.13559351861476898,61485,0.05003822222352028,141,0.21830162405967712,,,,,,
,61485,,141,,0.04591584578156471,0.13631482422351837,0.2016635686159134,,,
