val_Total_Loss,epoch,step,val_RMSE,val_MAE,train_Total_Loss,train_RMSE,train_MAE,test_Total_Loss,test_MAE,test_RMSE
0.021559525281190872,36,16020,0.1378462165594101,0.08856800943613052,,,,,,
,36,16020,,,0.01258406974375248,0.11035740375518799,0.07460897415876389,,,
0.023542018607258797,37,16453,0.14445601403713226,0.08864878863096237,,,,,,
,37,16453,,,0.013458646833896637,0.11266906559467316,0.07609056681394577,,,
0.020636476576328278,38,16886,0.140263631939888,0.09328698366880417,,,,,,
,38,16886,,,0.012297390028834343,0.10855980962514877,0.07299993932247162,,,
0.016002949327230453,39,17319,0.12216785550117493,0.07467488944530487,,,,,,
,39,17319,,,0.011278118938207626,0.10353820025920868,0.06982037425041199,,,
0.016575729474425316,40,17752,0.12610749900341034,0.07968442142009735,,,,,,
,40,17752,,,0.01061154343187809,0.10115212202072144,0.06841707974672318,,,
