step,val_MAE,epoch,val_RMSE,val_Total_Loss,train_Total_Loss,train_RMSE,train_MAE,test_MAE,test_Total_Loss,test_RMSE
11257,0.12009341269731522,25,0.19110651314258575,0.03881152346730232,,,,,,
11257,,25,,,0.0346715934574604,0.18293334543704987,0.12257597595453262,,,
11690,0.1277817040681839,26,0.1996786743402481,0.042094018310308456,,,,,,
11690,,26,,,0.03338577598333359,0.17934416234493256,0.12041454762220383,,,
12123,0.12452790886163712,27,0.19900329411029816,0.04368229955434799,,,,,,
12123,,27,,,0.03321200981736183,0.17907081544399261,0.11990941315889359,,,
12556,0.12402643263339996,28,0.1967010647058487,0.04065099358558655,,,,,,
12556,,28,,,0.033367354422807693,0.17868569493293762,0.11972326040267944,,,
12989,0.12010803818702698,29,0.1885492205619812,0.037085894495248795,,,,,,
12989,,29,,,0.0309002622961998,0.17275522649288177,0.11573126167058945,,,
13422,0.14018692076206207,30,0.21024289727210999,0.04538363590836525,,,,,,
13422,,30,,,0.03015316277742386,0.17035208642482758,0.1140749603509903,,,
13855,0.12238674610853195,31,0.18613913655281067,0.0356515534222126,,,,,,
13855,,31,,,0.030457863584160805,0.17174839973449707,0.11483456939458847,,,
14288,0.14622019231319427,32,0.20715342462062836,0.043844230473041534,,,,,,
14288,,32,,,0.028690708801150322,0.16665396094322205,0.11200863122940063,,,
14721,0.11885398626327515,33,0.1846248209476471,0.03517873212695122,,,,,,
14721,,33,,,0.027805684134364128,0.16402530670166016,0.10951180011034012,,,
15154,0.12403980642557144,34,0.19383113086223602,0.03850354254245758,,,,,,
15154,,34,,,0.02691529132425785,0.16160188615322113,0.10794961452484131,,,
15587,0.11165209114551544,35,0.17864686250686646,0.033065393567085266,,,,,,
15587,,35,,,0.026486234739422798,0.16040152311325073,0.1082322970032692,,,
16020,0.12098941951990128,36,0.18332789838314056,0.03448765352368355,,,,,,
16020,,36,,,0.025898927822709084,0.1581975370645523,0.10677966475486755,,,
16453,0.11298933625221252,37,0.18085433542728424,0.0334940068423748,,,,,,
16453,,37,,,0.026452908292412758,0.16031719744205475,0.1077946275472641,,,
16886,0.11445867270231247,38,0.18069157004356384,0.033808086067438126,,,,,,
16886,,38,,,0.025429755449295044,0.15708576142787933,0.10574805736541748,,,
17319,0.11053966730833054,39,0.1736227124929428,0.03103799745440483,,,,,,
17319,,39,,,0.02478722482919693,0.15527452528476715,0.10481339693069458,,,
17752,0.13378337025642395,40,0.20788897573947906,0.047733332961797714,,,,,,
17752,,40,,,0.03655136749148369,0.18394702672958374,0.12244495749473572,,,
