Element,Coordinates
Np,"[123.69195911954884, -19.47717790563459, 67.93959156083348, 76.46391093025915, -140.50551212987918, 38.99088403338421, 36.32677625107888, -97.65644456825105, 125.35726359224478, -45.150867361428965, -29.518454437719964, -4.574305356418388, 54.29777629827766, 22.08289045284558, -69.71512157407402, -27.754533535312518]"
Pu,"[110.14324947572487, -22.93283884180087, 67.32267353865947, 70.76813945992555, -136.81501651048842, 39.23695406887445, 27.52976923030801, -88.95508566317989, 114.37266032693236, -40.9426542171406, -23.542890108730813, -10.067783400159088, 52.545475720686504, 26.948142039243912, -64.71147705174559, -26.641024414058585]"
Am,"[73.3573076921472, -34.18663213058415, 45.369743825742944, 29.638881879860786, -121.2942156771256, 46.30176529439053, 1.1001408028431054, -62.86176222924163, 86.8158768038371, -24.938882467064314, -8.715195918422339, -26.881129161042757, 46.852139647668494, 26.175684081077495, -46.264982550054505, -24.842256862898676]"
Cm,"[75.7734881142675, -34.52847130103338, 45.5033702693753, 31.52704307890064, -120.78169255391471, 47.710241589893286, 1.6083517773121716, -61.69675913572932, 87.67318327729996, -25.31809277087165, -9.711370915924471, -25.91283744513436, 45.272536337064786, 27.251480504379277, -45.51701205255386, -25.94732603473301]"
Bk,"[57.74278223499039, -34.280819591183, 42.72115830097185, 13.684213942509002, -112.65543802385861, 38.62965741034047, -8.16510580760386, -53.256982561776, 77.67325590108013, -23.66337245811482, -1.935352184448438, -31.60773323961262, 47.59708884905886, 24.37342907412579, -31.913994973371928, -22.43642931794325]"
Cf,"[43.110571289119676, -31.709775965079384, 51.04161537434945, 14.155267503396587, -108.76438358350873, 26.414602105744752, -10.491164472780644, -44.13702576489734, 67.95990828078632, -27.64173604623657, -6.001081568802281, -27.3805431975065, 41.48653677712932, 30.941238200058113, -22.02619404311005, -20.5205437982612]"
Es,"[-55.77992595642155, -60.761682071535716, -218.92916576644402, 32.901532452371995, 29.670778893549315, -233.87222544751026, 473.96742272000665, 159.23043877502923, -290.7484599109294, 195.84753142319136, 124.06573348826979, 2.2324968974524984, -162.98058065075355, -118.43079862147894, 163.59790245441218, -268.11197559187497]"
Fm,"[-47.607272471377996, 236.01906864057477, -173.06115813149336, -151.87461817362274, 90.27816271937691, -88.35406303788865, 323.32140455811566, 25.023066708276247, -183.15265986203627, -47.7112963526046, -29.94062451042336, -183.6692759951129, -471.94621372111743, 85.58980670949943, 99.57357425139357, 310.56506591263616]"
Md,"[-224.65929131068296, 273.9578358284684, -125.18071550225216, 24.51425470149438, 17.78680980743443, 74.90473571634702, 159.32916736371496, 49.32061269762934, -270.7802238917665, 366.05558328156985, -12.23007570310896, 273.82213588817007, 50.89950862302604, 21.660463949378805, 100.05269374112989, 408.56399545681177]"
No,"[-156.10074927187358, -0.500380926955381, -342.38470656900074, 59.099477436064795, 434.31196494288355, -68.03533076215813, 68.55619013756728, -76.23176207992407, -250.21953551369347, -169.74289696253226, -374.9399012199267, -56.89441808605193, 93.01339197472765, 66.94372026659592, 82.25709384571809, -186.4159482709581]"
Lr,"[67.45377174886276, 151.19993407575836, -337.91090124475903, 94.0767329001352, 252.12210215238366, -290.67530028561686, 54.14747169614614, 328.40654584300427, -162.5268858629405, 260.7075166622322, -95.67221814865563, -14.046711845858606, 248.99892299139572, 252.7343758179759, -4.3730074105428525, 0.5699864350082158]"
