Element,Coordinates
Ga,"[-117.41996555075553, -169.22262010887297, 35.11519535933374, 66.0102437394527, -176.47372997148668, -7.2018518073203674, -218.00521588066272, -140.36316860757287, -64.16887295978474, 60.528874246371096, 68.48320571232436, -31.613085235238486, -91.1461439697546, 221.32318216050595, -80.78531103824733, -80.95754609692857]"
Ge,"[-154.63708936685924, -204.6520979251171, 13.58150033610582, 228.77372752489688, -63.384525384841, 49.79051611573364, -234.79676118018597, -10.160633000371003, -219.5756972673495, 117.99355203109013, 32.79189833967989, 56.319662504458236, -275.81816336298186, 335.5125145315026, -80.85824289419875, -110.06599967863205]"
As,"[128.8848936050736, -64.48489227163206, -256.4642946135253, -155.98652490345611, -33.93849659268018, 221.13401439735867, -98.9081333076237, 330.2587646257342, 10.107288153901461, 11.804656212001717, -240.16831925308404, 201.91157502787775, -209.28453071157483, -6.501139769440204, 290.15230769075737, -45.48202478832369]"
Se,"[-174.6263560999364, -25.86690973310351, 65.65414238887837, 38.922542427555186, 81.12562642918431, 363.7331161565401, 187.04636803141787, 366.07538159699726, -94.94476456524073, 59.20595311143626, -97.03357729127171, -275.1235673637415, 13.504581351798642, 70.05874615181587, -141.82855264592752, 1.8347865983755316]"
Br,"[-25.28469667014363, 460.83078230913924, -82.84899285252064, 120.47023712216047, 185.09589461389473, -84.30991993863663, -177.80025880720854, 120.27265863349425, -287.45525826358113, 123.99158934534326, -86.48687579913394, -73.76586282200438, -231.56324411902565, -320.2844524784593, -58.51485883287425, -170.3380227425226]"
Kr,"[-149.2145371869819, -2.3227810082241103, 220.38723970649613, -108.4413999878169, 252.07044045272045, 211.58697399668097, 23.586322915564, -64.26106922282572, -166.9700661540037, 21.544367451143746, 94.33014483156278, 271.25277580951814, -408.13877141646674, -320.8015196460999, 23.564914340441074, 249.6558484156834]"
Rb,"[-285.2389802815189, 61.65490288575527, 283.67014318530113, 80.80635874994596, 67.33746809174016, -314.01329429137746, -61.645614397957736, 192.25324534167078, -168.58648975024977, -139.4940260685081, -76.28105308241943, 92.04665130259863, -143.7466625774922, 234.7148438081706, 276.3553780316138, 18.527614320419882]"
Sr,"[200.9191829893101, 34.46947918665905, 119.80888974063355, 220.35147239452536, -165.13575457021048, 70.40227203724524, 181.70966181652295, -115.67469406537651, 156.3555211821634, -82.3290106394946, -114.7627298823863, 106.15589702713847, 19.142840078245886, -16.828741203113722, -114.45879925077821, -17.669641552548523]"
Y,"[161.5216522111719, 19.598012101879174, 87.0343806346028, 138.3137500171749, -174.2047348012904, 25.456374247281627, 96.93593587527221, -148.85803292192878, 179.5860037808366, -68.75974402973665, -69.99138212256845, 29.23573586118912, 73.62988551228301, 4.187553353589912, -99.27498070388187, -9.375487122737468]"
Zr,"[153.69261423202104, 30.047443687009483, 65.25794082516045, 110.71228831326648, -165.3876156663058, 9.609547580078239, 78.97347439662475, -158.46228531655856, 200.52530735489046, -64.73254447712097, -56.08674629052053, 0.601591831980891, 103.1260207028466, 0.12223599558938202, -85.48923297323753, 3.8457024017940933]"
Nb,"[176.39323404858393, 87.60503073371298, 5.353230179978111, 93.36022693761198, -116.36703521631361, -26.177919969462998, 68.5474503307485, -149.6346804444241, 273.59358277479265, -64.54388861483433, -65.92574754126544, -56.16733404642254, 178.25147206860512, -4.110433861504323, -55.88005406743204, 51.46073532428529]"
Mo,"[25.341480296006605, 57.19652080837053, -122.7576730508177, 182.56920510819972, 309.07284671481136, 174.26277861460628, -2.4890724448206205, 16.937513044894235, 131.65669241448794, 85.7418691777964, 319.9391049213367, -118.72052883680087, -63.47615945715884, 90.8950763443955, 364.6930235959526, -18.19995842861519]"
