val_Total_Loss,val_RMSE,epoch,step,val_MAE,train_MAE,train_RMSE,train_Total_Loss,test_MAE,test_RMSE,test_Total_Loss
0.47519007325172424,0.6878917217254639,36,16020,0.5347459316253662,,,,,,
,,36,16020,,0.5088485479354858,0.6677289605140686,0.45715847611427307,,,
0.36638665199279785,0.6032755374908447,37,16453,0.45068472623825073,,,,,,
,,37,16453,,0.47635847330093384,0.6308943629264832,0.4038495123386383,,,
0.5434136986732483,0.7343806624412537,38,16886,0.5449864268302917,,,,,,
,,38,16886,,1.0592811107635498,1.3500046730041504,26.929235458374023,,,
0.6218922734260559,0.7864199876785278,39,17319,0.5791913270950317,,,,,,
,,39,17319,,0.5557966232299805,0.7361605763435364,0.5466609597206116,,,
0.6550005674362183,0.8061331510543823,40,17752,0.6204504370689392,,,,,,
,,40,17752,,0.6459513902664185,0.8355120420455933,0.7067651748657227,,,
0.5335293412208557,0.7283002734184265,41,18185,0.561031699180603,,,,,,
